#{"t_start": 1775060408.5666807, "env_id": "None"}
r,l,t
7311.739487,30000,276.439826
19867.381026,30000,610.252262
19611.713462,30000,977.853376
20341.351026,30000,1469.004861
34164.609615,30000,1925.023306
32859.373333,30000,2365.224178
