-- diagnose_rounds_won.lua -- inicio frame 0 --
[CAMBIO F5772] P1_base+0xEB+2 (0xFF83EB): 18 -> 10
[CAMBIO F5870] GLOBAL+0x21 (0xFF8021): 148 -> 152
[CAMBIO F5872] P1_base+0xEB+2 (0xFF83EB): 10 -> 5
[CAMBIO F6490] P1_base+0xEB+2 (0xFF83EB): 5 -> 144
[CAMBIO F6490] GLOBAL+0x21 (0xFF8021): 152 -> 160
[CAMBIO F6490] P2_CROUCH_ref (0xFF86C4): 1 -> 0
[SNAP] snapshot_BEFORE tomado en frame 6490 | P1HP=144 P2HP=144
[CAMBIO F6494] P2_CROUCH_ref (0xFF86C4): 0 -> 2
[CAMBIO F6670] P2_CROUCH_ref (0xFF86C4): 2 -> 3
[CAMBIO F6718] P2_CROUCH_ref (0xFF86C4): 3 -> 2
[CAMBIO F6738] GLOBAL+0x21 (0xFF8021): 160 -> 164
[CAMBIO F6740] P2_base+0xEB+2 (0xFF86EB): 144 -> 123
[CAMBIO F6794] P2_CROUCH_ref (0xFF86C4): 2 -> 3
[CAMBIO F6814] GLOBAL+0x21 (0xFF8021): 164 -> 168
[CAMBIO F6816] P2_base+0xEB+2 (0xFF86EB): 123 -> 102
[CAMBIO F6842] GSTATE+0x00 (0xFF8900): 0 -> 29
[CAMBIO F6844] GSTATE+0x00 (0xFF8900): 29 -> 27
[CAMBIO F6846] GSTATE+0x00 (0xFF8900): 27 -> 25
[CAMBIO F6848] GSTATE+0x00 (0xFF8900): 25 -> 23
[CAMBIO F6850] GSTATE+0x00 (0xFF8900): 23 -> 21
[CAMBIO F6852] GSTATE+0x00 (0xFF8900): 21 -> 19
[CAMBIO F6854] GSTATE+0x00 (0xFF8900): 19 -> 17
[CAMBIO F6856] GSTATE+0x00 (0xFF8900): 17 -> 15
[CAMBIO F6858] GSTATE+0x00 (0xFF8900): 15 -> 13
[CAMBIO F6860] GSTATE+0x00 (0xFF8900): 13 -> 11
[CAMBIO F6862] GSTATE+0x00 (0xFF8900): 11 -> 9
[CAMBIO F6864] GSTATE+0x00 (0xFF8900): 9 -> 7
[CAMBIO F6866] GSTATE+0x00 (0xFF8900): 7 -> 5
