#{"t_start": 1775327738.2261038, "env_id": "None"}
r,l,t
535.946154,1129,51.445756
978.134615,539,64.352825
280.789744,973,90.705842
1524.598718,1456,152.370758
1058.8,419,191.122192
798.487179,172,218.233443
13.201282,2057,287.897304
1479.207692,579,304.773949
664.303846,329,343.981024
609.273077,725,364.478589
1178.9,1143,388.477797
735.608974,258,409.241941
834.051282,1310,475.451275
-879.483333,1179,538.978415
1430.184615,285,576.036469
845.614103,575,587.956558
1673.075641,550,609.081508
1123.373077,517,625.706185
287.765385,451,652.764623
792.623077,672,680.178806
-98.241026,371,698.430419
1476.273077,797,736.112989
2186.229487,2335,803.140142
1115.852564,480,822.564244
77.338462,1180,868.840677
874.24359,941,906.798485
319.55,61,924.267809
1351.535897,1144,959.414891
1086.941026,500,972.981776
1912.421795,927,1002.159532
963.262821,4,1030.539109
322.880769,761,1074.473918
-39.621795,674,1089.708633
620.102564,77,1119.67672
1209.142308,2023,1215.082767
1199.317949,612,1236.428792
267.688462,468,1261.052459
1152.089744,364,1282.163896
-32.297436,414,1311.014531
-897.211538,681,1338.432314
956.525641,1045,1358.269649
2173.482051,497,1378.643802
1239.108974,37,1394.296901
2579.811538,1516,1472.721652
692.069231,1423,1517.938153
-117.251282,650,1536.801803
671.402564,496,1548.388864
448.725641,360,1563.894483
372.884615,710,1583.497134
2262.426923,316,1600.93094
1608.847436,814,1618.158504
1186.162821,446,1639.63259
555.002564,714,1666.082059
1318.691026,539,1679.758342
360.382051,900,1731.703532
-18.1,366,1761.092805
1016.360256,1551,1804.790042
-390.3,1240,1845.852458
1287.007692,507,1862.871605
-495.74359,1258,1917.577012
346.994872,1114,1952.318407
1370.262821,432,1980.768451
2167.355128,440,2010.982141
1835.107692,810,2032.850132
433.829487,840,2061.747334
649.988462,768,2074.777475
2505.003846,1217,2124.526067
