#{"t_start": 1775327737.8991046, "env_id": "None"}
r,l,t
1267.210256,408,29.446516
1355.753846,720,47.816588
-51.75,3,57.002629
-1015.010256,1510,91.032842
362.328205,1457,156.977172
263.524359,960,226.641251
505.729487,2109,300.317265
752.666667,178,321.220369
1269.098718,1045,373.895356
281.639744,1132,392.287455
-149.746154,249,405.981945
-481.497436,568,455.729011
304.597436,751,481.5686
667.292308,1068,518.305694
1011.448718,972,595.461819
61.035897,1066,630.070703
304.551282,1492,685.557861
922.887179,697,730.624394
219.097436,830,768.893382
-1166.128205,1608,809.04524
-89.733333,1945,894.867733
-604.608974,713,914.044708
1556.775641,441,931.800805
1781.766667,1206,977.831569
-528.85,927,1016.418708
2210.196154,295,1043.266736
1338.765385,1144,1095.119634
354.75,74,1112.538442
2447.637179,1278,1167.427493
1917.832051,265,1190.759957
964.30641,479,1204.832805
3055.310256,1083,1261.379458
-52.0,2,1272.321299
148.287179,775,1298.588679
3892.557692,889,1343.749904
293.407692,841,1364.365085
3639.007692,1881,1448.350924
1236.017949,539,1486.521588
263.864103,897,1508.351626
1150.594872,259,1530.009901
801.625641,1399,1556.066482
1311.611538,711,1583.824133
946.042308,315,1597.338938
1969.814103,816,1622.289176
317.834615,444,1636.057587
1192.776923,344,1651.794067
-63.808974,371,1666.408063
217.34359,836,1685.249089
110.739744,370,1709.115203
737.478205,601,1769.427607
635.383333,438,1786.38599
1094.010256,1112,1809.158609
698.647436,724,1820.32743
1050.573077,1750,1879.846512
1958.032051,1945,1975.073134
1589.214103,441,2007.9489
-137.824359,1294,2043.311846
1982.679487,1745,2091.076279
925.207692,636,2117.2425
