#{"t_start": 1775327736.5641024, "env_id": "None"}
r,l,t
1738.512821,1130,56.245759
1250.426923,539,69.884137
174.370513,2390,126.701406
1722.541026,456,174.909938
-16.755128,2230,289.562304
242.44359,601,326.015369
1021.623077,1043,370.458565
1288.39359,1133,393.620451
276.479487,815,438.450995
3992.244872,2213,559.130315
-50.0,2,574.951472
2177.225641,1125,606.714509
1092.935897,459,622.906142
194.591026,1181,677.861284
3755.521795,3983,817.674245
1525.394872,1078,852.037458
1403.816667,387,875.868813
-50.0,2,892.492429
2243.648718,1860,961.07589
-546.116667,501,979.167576
-410.279487,931,1035.36011
1758.394872,1435,1096.454636
1373.460256,73,1110.497445
-598.369231,685,1148.925014
195.866667,595,1177.733334
112.666667,265,1196.19953
1517.337179,481,1216.743764
1202.39359,293,1230.425801
277.410256,378,1247.930485
-1078.465385,1678,1332.995527
1830.233333,1733,1384.561804
715.711538,37,1399.095473
791.441026,1024,1422.634236
221.411538,326,1453.676437
514.624359,1435,1509.688627
1012.188462,169,1526.451523
1439.064103,731,1542.406805
725.071795,759,1565.556484
747.766667,709,1582.462138
2708.166667,653,1613.780721
2238.728205,1633,1659.423523
3248.311538,842,1690.527087
1215.870513,601,1719.528533
1288.642308,369,1770.77161
-811.978205,2106,1817.068146
1654.989744,415,1837.058971
1219.216667,458,1852.601691
-483.164103,904,1878.990832
-81.7,142,1886.759741
1328.24359,1643,1953.981409
1395.0,128,1968.265588
244.211538,306,1992.792199
2008.858974,868,2028.214132
567.058974,733,2040.511289
2180.691026,1747,2096.560414
823.505128,1190,2134.152151
