#{"t_start": 1775327736.4821029, "env_id": "None"}
r,l,t
934.889744,570,39.709841
-305.99359,559,53.189757
732.64359,540,69.963145
2858.948718,1668,103.752439
1304.14359,1334,216.30961
-1056.330769,2073,285.457644
1885.094872,602,326.096369
1093.4,307,345.723026
777.279487,2117,402.454794
-57.75,10,414.626808
729.852564,558,451.887748
2102.580769,1581,508.294734
47.283333,240,531.99279
4361.90641,1271,600.919821
1959.185897,2261,712.68358
1468.035897,695,736.327397
1996.835897,3324,831.898898
228.74359,1056,880.065753
26.384615,716,918.876811
1058.538462,443,941.331618
461.553846,701,956.83489
1189.164103,1103,987.881513
630.441026,331,1038.221222
-271.641026,1511,1127.427152
1280.665385,680,1145.520543
411.737179,698,1182.494554
566.712821,642,1210.26469
1204.462821,207,1224.985697
1248.971795,464,1242.027345
1206.441026,412,1265.473458
1300.337179,928,1316.723479
1384.410256,529,1335.897527
1419.341026,891,1354.316633
107.896154,160,1372.6913
2455.028205,2046,1479.144334
291.833333,1422,1519.678153
1807.929487,2220,1587.699115
384.111538,313,1606.107947
94.39359,1601,1650.617064
1238.038462,372,1667.827061
1228.212821,841,1692.815088
2199.237179,622,1744.700339
1824.282051,781,1783.425322
231.633333,751,1800.016043
931.070513,2107,1858.931103
624.580769,587,1873.781667
414.982051,973,1925.678107
370.49359,611,1942.179473
947.75,203,1957.01241
807.016667,435,1998.532296
1198.457692,519,2017.633951
1150.066667,2336,2080.947475
1288.407692,2400,2145.610598
